title,episodes,score,num_votes,air_start,air_end,genres,producers,studios,status
Minami-ke Tadaima,13.0,7.78,15435,2013-01-06,2013-03-31,"['Comedy', 'School', 'Slice of Life']",[],['feel.'],Finished Airing
Masamune-kun no Revenge,,7.78,15805,2017-01-05,,"['Harem', 'Comedy', 'Romance', 'School', 'Shounen']","['Sotsu', 'Lantis', 'AT-X', 'KlockWorx', 'BS Fuji', 'Tokyo MX', 'Crunchyroll', 'Ichijinsha', 'Furyu']",['Silver Link.'],Currently Airing
Fushigi Yuugi,52.0,7.77,30160,1995-04-06,1996-03-28,"['Adventure', 'Fantasy', 'Magic', 'Martial Arts', 'Comedy', 'Romance', 'Historical', 'Drama', 'Shoujo']","['TV Tokyo', 'Shogakukan Productions', 'Yomiko Advertising', 'Apollon']",['Studio Pierrot'],Finished Airing
Mitsudomoe,13.0,7.73,26117,2010-07-03,2010-09-26,"['Comedy', 'School', 'Slice of Life']","['Aniplex', 'Lantis', 'Cospa', 'Studio Mausu', 'Akita Shoten']",['Bridge'],Finished Airing
Kekkai Sensen,12.0,7.73,101708,2015-04-05,2015-10-04,"['Action', 'Super Power', 'Supernatural', 'Vampire', 'Fantasy', 'Shounen']",['TOHO animation'],['Bones'],Finished Airing
Hungry Heart: Wild Striker,52.0,7.73,7732,2002-09-11,2003-09-10,"['Slice of Life', 'Comedy', 'Sports', 'Shounen']",[],['Nippon Animation'],Finished Airing
Wakakusa Monogatari: Nan to Jo-sensei,40.0,7.74,1243,1993-01-17,1993-12-19,"['Drama', 'Historical', 'School', 'Slice of Life']",[],['Nippon Animation'],Finished Airing
Toriko,147.0,7.74,18095,2011-04-03,2014-03-30,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Shounen']","['Yomiko Advertising', 'Fuji TV', 'Shueisha']",['Toei Animation'],Finished Airing
Taiyou no Ko Esteban,39.0,7.74,2582,1982-06-29,1983-06-07,"['Adventure', 'Historical', 'Sci-Fi']",['DiC Entertainment'],['Studio Pierrot'],Finished Airing
Mousou Dairinin,13.0,7.74,62310,2004-02-03,2004-05-18,"['Drama', 'Mystery', 'Police', 'Psychological', 'Supernatural', 'Thriller']","['WOWOW', 'Asmik Ace Entertainment', 'Tohokushinsha Film Corporation']",['Madhouse'],Finished Airing
Crayon Shin-chan,,7.73,14189,1992-04-13,,"['Comedy', 'Ecchi', 'Kids', 'School', 'Shounen', 'Slice of Life']",['TV Asahi'],['Shin-Ei Animation'],Currently Airing
Mahou Shoujo Lyrical Nanoha StrikerS,26.0,7.74,18136,2007-04-02,2007-09-24,"['Action', 'Magic', 'Comedy', 'Super Power', 'Drama']","['Geneon Universal Entertainment', 'A Line']",['Seven Arcs'],Finished Airing
