title,episodes,score,num_votes,air_start,air_end,genres,producers,studios,status
Itazura na Kiss,25.0,7.75,77002,2008-04-05,2008-09-25,"['Comedy', 'Romance', 'Shoujo']","['Bandai Visual', 'Trinity Sound']",['TMS Entertainment'],Finished Airing
Hayate no Gotoku!,52.0,7.75,58402,2007-04-01,2008-03-30,"['Action', 'Comedy', 'Harem', 'Parody', 'Romance']","['TV Tokyo', 'Shogakukan Productions', 'Studio Tulip']",['SynergySP'],Finished Airing
Go! Princess Precure,50.0,7.75,1650,2015-02-01,2016-01-31,"['Action', 'Comedy', 'Fantasy', 'Magic', 'School', 'Shoujo', 'Slice of Life']",[],['Toei Animation'],Finished Airing
Genshiken,12.0,7.75,49116,2004-10-10,2004-12-26,"['Slice of Life', 'Comedy', 'Parody']","['Genco', 'Lantis', 'Kids Station', 'Toshiba Entertainment']",['Palm Studio'],Finished Airing
Majin Tantei Nougami Neuro,25.0,7.75,18320,2007-10-03,2008-03-26,"['Comedy', 'Demons', 'Mystery', 'Shounen', 'Supernatural']","['VAP', 'Shueisha']",['Madhouse'],Finished Airing
Doraemon (1979),1787.0,7.75,5570,1979-02-04,2005-03-18,"['Kids', 'Adventure', 'Fantasy', 'Comedy', 'Sci-Fi', 'Shounen']","['TV Asahi', 'Asatsu DK']",['Shin-Ei Animation'],Finished Airing
Demi-chan wa Kataritai,,7.75,7142,2017-01-08,,"['Comedy', 'Fantasy', 'School', 'Seinen']","['Aniplex', 'Kodansha']",['A-1 Pictures'],Currently Airing
D-Frag!,12.0,7.75,85670,2014-01-07,2014-03-25,"['Comedy', 'Game', 'School', 'Seinen']","['TV Tokyo', 'Media Factory', 'Kadokawa Shoten', 'AT-X', 'DAX Production', 'Sony Music Communications', 'Toranoana']","[""Brain's Base""]",Finished Airing
Trapp Ikka Monogatari,40.0,7.76,1409,1991-01-13,1991-12-28,"['Drama', 'Historical', 'Music', 'Romance']",['Fuji TV'],['Nippon Animation'],Finished Airing
Tegamibachi,25.0,7.76,28255,2009-10-03,2010-03-27,"['Adventure', 'Supernatural', 'Fantasy', 'Shounen']",['TV Tokyo'],['Studio Pierrot'],Finished Airing
Shingeki no Bahamut: Genesis,12.0,7.76,70309,2014-10-06,2014-12-29,"['Action', 'Adventure', 'Demons', 'Fantasy', 'Magic', 'Supernatural']","['NBCUniversal Entertainment Japan', 'Cygames']",['MAPPA'],Finished Airing
Senjou no Valkyria,26.0,7.76,34974,2009-04-05,2009-09-27,"['Action', 'Military', 'Romance']","['Aniplex', 'Sega', 'Sakura Create']",['A-1 Pictures'],Finished Airing
Orange,13.0,7.76,71979,2016-07-04,2016-09-26,"['Sci-Fi', 'Drama', 'Romance', 'School', 'Shoujo']","['TMS Entertainment', 'DAX Production', 'TOHO animation', 'Lawson', 'ABC Animation']",['Telecom Animation Film'],Finished Airing
No.6,11.0,7.76,90887,2011-07-08,2011-09-16,"['Action', 'Sci-Fi']","['Aniplex', 'Dentsu', 'Kodansha', 'Fuji TV']",['Bones'],Finished Airing
Master Keaton,24.0,7.76,2270,1998-10-06,1999-03-29,"['Adventure', 'Mystery']","['VAP', 'Shogakukan Productions']",['Madhouse'],Finished Airing
Mahouka Koukou no Rettousei,26.0,7.76,161075,2014-04-06,2014-09-28,"['Sci-Fi', 'Supernatural', 'Magic', 'Romance', 'School']","['Aniplex', 'Square Enix', 'Movic', 'ASCII Media Works']",['Madhouse'],Finished Airing
Mahoujin Guru Guru,45.0,7.76,1524,1994-10-13,1995-09-14,"['Adventure', 'Fantasy', 'Magic', 'Comedy', 'Shounen']",['Dentsu'],['Nippon Animation'],Finished Airing
Lupin III,23.0,7.76,12676,1971-10-24,1972-03-26,"['Action', 'Adventure', 'Comedy', 'Shounen']","['TMS Entertainment', 'Group TAC']",['Tokyo Movie Shinsha'],Finished Airing
Kanojo to Kanojo no Neko: Everything Flows,4.0,7.76,20318,2016-03-04,2016-03-25,"['Psychological', 'Romance', 'Slice of Life']","['Lantis', 'CoMix Wave Films']",['LIDENFILMS'],Finished Airing
Hakuouki Hekketsuroku,10.0,7.76,25330,2010-10-04,2010-12-06,"['Action', 'Historical', 'Supernatural', 'Drama', 'Samurai', 'Josei']",[],['Studio Deen'],Finished Airing
Black Jack 21,17.0,7.76,2337,2006-04-10,2006-09-04,"['Action', 'Drama']","['Avex Entertainment', 'Yomiuri Telecasting Corporation']",['Tezuka Productions'],Finished Airing
Zero no Tsukaima F,12.0,7.77,109304,2012-01-07,2012-03-24,"['Adventure', 'Magic', 'Romance', 'Ecchi', 'Fantasy']","['Cospa', 'Showgate']",['J.C.Staff'],Finished Airing
Turn A Gundam,50.0,7.77,7162,1999-04-09,2000-04-14,"['Action', 'Military', 'Sci-Fi', 'Adventure', 'Space', 'Drama', 'Mecha']","['Sotsu', 'Fuji TV']","['Sunrise', 'Nakamura Production']",Finished Airing
Tonari no Kaibutsu-kun,13.0,7.77,216543,2012-10-02,2012-12-25,"['Slice of Life', 'Comedy', 'Romance', 'School', 'Shoujo']","['TV Tokyo', 'Aniplex', 'Nihon Ad Systems', 'Kodansha']","[""Brain's Base""]",Finished Airing
Rozen Maiden: Träumend,12.0,7.77,43285,2005-10-21,2006-01-27,"['Action', 'Comedy', 'Drama', 'Magic', 'Seinen']","['Mellow Head', 'TBS']",['Nomad'],Finished Airing
Over Drive,26.0,7.77,13766,2007-04-04,2007-09-26,"['Shounen', 'Sports']","['Sotsu', 'Pony Canyon']",['Xebec'],Finished Airing
Ichigo Mashimaro,12.0,7.77,20712,2005-07-15,2005-10-14,"['Slice of Life', 'Comedy']","['TBS', 'Movic']",['Daume'],Finished Airing
Bungou Stray Dogs,12.0,7.77,91751,2016-04-07,2016-06-23,"['Action', 'Comedy', 'Mystery', 'Seinen', 'Supernatural']","['Lantis', 'Movic', 'KlockWorx', 'Bandai Namco Live Creative', 'Glovision', 'Lawson HMV Entertainment', 'Sony PCL']",['Bones'],Finished Airing
Utawarerumono,26.0,7.78,40025,2006-04-04,2006-09-26,"['Action', 'Drama', 'Fantasy', 'Sci-Fi']","['Lantis', 'Half H.P Studio', 'AQUAPLUS']",['OLM'],Finished Airing
Texhnolyze,22.0,7.78,24327,2003-04-17,2003-09-25,"['Action', 'Sci-Fi', 'Psychological', 'Drama']","['Group TAC', 'Rondo Robe', 'Fuji TV', 'Pioneer LDC']",['Madhouse'],Finished Airing
Special A,24.0,7.78,95476,2008-04-07,2008-09-15,"['Comedy', 'Romance', 'School', 'Shoujo']",['Showgate'],"['Gonzo', 'AIC']",Finished Airing
Shakugan no Shana II (Second),24.0,7.78,109983,2007-10-05,2008-03-28,"['Action', 'Drama', 'Fantasy', 'Romance', 'School', 'Supernatural']","['Geneon Universal Entertainment', 'ASCII Media Works']",['J.C.Staff'],Finished Airing
Servant x Service,13.0,7.78,40956,2013-07-05,2013-09-27,"['Comedy', 'Slice of Life']","['Aniplex', 'Half H.P Studio', 'Asahi Broadcasting Corporation']",['A-1 Pictures'],Finished Airing
Rakudai Kishi no Cavalry,12.0,7.78,114279,2015-10-03,2015-12-19,"['Action', 'Ecchi', 'Fantasy', 'Romance', 'School']",['flying DOG'],"['Silver Link.', 'Nexus']",Finished Airing
Nurarihyon no Mago,24.0,7.78,58956,2010-07-06,2010-12-21,"['Action', 'Demons', 'Shounen', 'Supernatural']","['Yomiuri Telecasting Corporation', 'Yomiko Advertising', 'Pony Canyon', 'Toho', 'Shueisha', 'BS11', 'Hakuhodo DY Media Partners']",['Studio Deen'],Finished Airing
Kore wa Zombie Desu ka? of the Dead,10.0,7.78,112524,2012-04-05,2012-06-07,"['Action', 'Harem', 'Comedy', 'Supernatural', 'Magic', 'Ecchi']","['Kadokawa Shoten', 'AT-X', 'Kadokawa Pictures Japan', 'KlockWorx', 'flying DOG']",['Studio Deen'],Finished Airing
Ga-Rei: Zero,12.0,7.78,66461,2008-10-06,2008-12-22,"['Action', 'Super Power', 'Supernatural', 'Thriller']","['Lantis', 'Kadokawa Shoten', 'Rakuonsha', 'Kadokawa Pictures Japan', 'KlockWorx']","['AIC Spirits', 'Asread']",Finished Airing
Ajin,13.0,7.78,77328,2016-01-16,2016-04-09,"['Action', 'Mystery', 'Horror', 'Supernatural', 'Seinen']","['Mainichi Broadcasting System', 'Kodansha', 'KlockWorx', 'Sony Music Communications', 'TOHO animation', 'King Records']",['Polygon Pictures'],Finished Airing
Urusei Yatsura,195.0,7.79,4433,1981-10-14,1986-03-19,"['Action', 'Adventure', 'Comedy', 'Drama', 'Romance', 'Sci-Fi']","['Kitty Films', 'Fuji TV']","['Studio Pierrot', 'Studio Deen']",Finished Airing
Udon no Kuni no Kiniro Kemari,12.0,7.79,13976,2016-10-09,2016-12-25,"['Slice of Life', 'Fantasy', 'Seinen']","['VAP', 'Nippon Television Network Corporation', 'Nippon Television Music Corporation', 'Nishinippon Broadcasting Company', 'Dai Nippon Printing', 'Shinchosha Publishing']",['LIDENFILMS'],Finished Airing
To LOVE-Ru Darkness 2nd,12.0,7.79,35775,2015-07-07,2015-09-29,"['Comedy', 'Ecchi', 'Harem', 'Romance', 'School', 'Sci-Fi', 'Shounen']",['Magic Capsule'],['Xebec'],Finished Airing
Tenkuu no Escaflowne,26.0,7.79,41858,1996-04-02,1996-09-24,"['Adventure', 'Romance', 'Fantasy', 'Mecha', 'Shoujo']","['TV Tokyo', 'Bandai Visual']",['Sunrise'],Finished Airing
Pretty Rhythm: Rainbow Live,51.0,7.79,1478,2013-04-06,2014-03-29,"['Slice of Life', 'Sports', 'Music', 'Shoujo']",['TV Tokyo'],"['Tatsunoko Production', 'Dongwoo A&amp;E']",Finished Airing
Poyopoyo Kansatsu Nikki,52.0,7.79,5751,2012-01-08,2012-12-30,"['Slice of Life', 'Comedy', 'Seinen']","['DAX Production', 'Dream Creation', 'Möbius Tone']",['Studio Deen'],Finished Airing
Panty & Stocking with Garterbelt,13.0,7.79,85823,2010-10-02,2010-12-25,"['Action', 'Comedy', 'Parody', 'Supernatural', 'Ecchi']","['Kadokawa Shoten', 'Half H.P Studio', 'AT-X', 'Kadokawa Pictures Japan', 'KlockWorx', 'flying DOG', 'Kadokawa Contents Gate']",['Gainax'],Finished Airing
Jigoku Shoujo,26.0,7.79,71751,2005-10-05,2006-04-05,"['Mystery', 'Horror', 'Psychological', 'Supernatural']","['Aniplex', 'SKY Perfect Well Think']",['Studio Deen'],Finished Airing
Aria The Animation,13.0,7.79,26359,2005-10-06,2005-12-29,"['Fantasy', 'Sci-Fi', 'Shounen', 'Slice of Life']",[],['Hal Film Maker'],Finished Airing
Dragon Quest: Dai no Daibouken,46.0,7.79,4894,1991-10-17,1992-09-24,"['Adventure', 'Comedy', 'Demons', 'Magic', 'Martial Arts', 'Fantasy', 'Shounen']",[],['Toei Animation'],Finished Airing
Tokyo Ravens,24.0,7.8,83744,2013-10-09,2014-03-26,"['Comedy', 'Super Power', 'Supernatural', 'School', 'Shounen']","['Geneon Universal Entertainment', 'Movic', 'Bushiroad', 'Showgate', 'Tokyo MX']",['8bit'],Finished Airing
Sword Art Online,25.0,7.8,663268,2012-07-08,2012-12-23,"['Action', 'Adventure', 'Fantasy', 'Game', 'Romance']","['Aniplex', 'Genco', 'DAX Production', 'ASCII Media Works']",['A-1 Pictures'],Finished Airing
Soredemo Sekai wa Utsukushii,12.0,7.8,50969,2014-04-06,2014-06-29,"['Adventure', 'Romance', 'Fantasy', 'Shoujo']","['VAP', 'Hakusensha', 'Nippon Television Network Corporation']",['Studio Pierrot'],Finished Airing
New Game!,12.0,7.8,45397,2016-07-04,2016-09-19,"['Slice of Life', 'Comedy']","['Frontier Works', 'Kadokawa Shoten', 'Movic', 'AT-X', 'Delfi Sound', 'Sony Music Communications', 'Houbunsha', 'MAGES.', 'Lawson']",['Doga Kobo'],Finished Airing
"Ima, Soko ni Iru Boku",13.0,7.8,20891,1999-10-14,2000-01-20,"['Adventure', 'Drama', 'Fantasy', 'Military', 'Sci-Fi']",['Pioneer LDC'],['AIC'],Finished Airing
Hourou Musuko,11.0,7.8,20383,2011-01-14,2011-04-01,"['Drama', 'School', 'Slice of Life']","['Aniplex', 'AIC', 'Dentsu', 'Fuji TV', 'Magic Capsule', 'Enterbrain', 'Fuji Pacific Music Publishing']",['AIC Classic'],Finished Airing
Full Metal Panic!,24.0,7.8,145251,2002-01-08,2002-06-18,"['Action', 'Military', 'Sci-Fi', 'Comedy', 'Mecha']",['Kadokawa Shoten'],['Gonzo'],Finished Airing
Fruits Basket,26.0,7.8,146495,2001-07-05,2001-12-27,"['Slice of Life', 'Comedy', 'Drama', 'Romance', 'Fantasy', 'Shoujo']","['TV Tokyo', 'Nihon Ad Systems']",['Studio Deen'],Finished Airing
Chrno Crusade,24.0,7.8,71343,2003-11-25,2004-06-10,"['Action', 'Historical', 'Demons', 'Supernatural', 'Romance']","['Lantis', 'Kadokawa Shoten', 'Fuji TV']",['Gonzo'],Finished Airing
Blood+,50.0,7.8,95550,2005-10-08,2006-09-23,"['Action', 'Military', 'Mystery', 'Horror', 'Supernatural', 'Drama', 'Vampire']","['Aniplex', 'Mainichi Broadcasting System']",['Production I.G'],Finished Airing
Yume-iro Pâtissière SP Professional,13.0,7.81,12057,2010-10-03,2010-12-26,"['Slice of Life', 'Shoujo']",['Shueisha'],['Studio Pierrot'],Finished Airing
To LOVE-Ru Darkness,12.0,7.81,78044,2012-10-06,2012-12-29,"['Comedy', 'Ecchi', 'Harem', 'Romance', 'School', 'Sci-Fi', 'Shounen']","['Geneon Universal Entertainment', 'Magic Capsule']",['Xebec'],Finished Airing
Shoukoujo Sara,46.0,7.81,4212,1985-01-06,1985-12-29,"['Drama', 'Historical', 'Shoujo', 'Slice of Life']",[],['Nippon Animation'],Finished Airing
Minami-ke,13.0,7.81,49864,2007-10-08,2007-12-31,"['Slice of Life', 'Comedy', 'School']","['Starchild Records', 'Magic Capsule', 'Eye Move', 'Sunny Side Up']",['Daume'],Finished Airing
K: Return of Kings,13.0,7.81,52047,2015-10-03,2015-12-26,"['Action', 'Super Power', 'Supernatural']","['Starchild Records', 'Mainichi Broadcasting System', 'Studio Tulip', 'Glovision']",['GoHands'],Finished Airing
Jigoku Shoujo Mitsuganae,26.0,7.81,24188,2008-10-04,2009-04-04,"['Psychological', 'Supernatural', 'Mystery']","['Aniplex', 'Tokyo MX']",['Studio Deen'],Finished Airing
Hakkenden: Touhou Hakken Ibun 2nd Season,13.0,7.81,16683,2013-07-07,2013-09-29,"['Action', 'Fantasy', 'Shoujo', 'Supernatural']","['Bandai Visual', 'Frontier Works', 'Lantis', 'Movic', 'DAX Production', 'Sony PCL']",['Studio Deen'],Finished Airing
Guilty Crown,22.0,7.81,260580,2011-10-14,2012-03-23,"['Action', 'Drama', 'Sci-Fi', 'Super Power']","['Aniplex', 'Dentsu', 'Movic', 'Fuji TV', 'Fuji Pacific Music Publishing']",['Production I.G'],Finished Airing
Eikoku Koi Monogatari Emma,12.0,7.81,8526,2005-04-03,2005-06-19,"['Slice of Life', 'Historical', 'Drama', 'Romance', 'Seinen']","['Pony Canyon', 'TBS', 'Toshiba Entertainment', 'Fuji Creative Corporation']",['Studio Pierrot'],Finished Airing
Daa! Daa! Daa!,78.0,7.81,5725,2000-03-28,2002-02-26,"['Comedy', 'Sci-Fi', 'Shoujo']",[],['J.C.Staff'],Finished Airing
Working!!,13.0,7.82,102214,2010-04-04,2010-06-27,"['Comedy', 'Slice of Life']","['Aniplex', 'Rakuonsha']",['A-1 Pictures'],Finished Airing
Bokurano,24.0,7.81,26853,2007-04-09,2007-09-25,"['Sci-Fi', 'Psychological', 'Drama', 'Mecha']",['Sotsu Music Publishing'],['Gonzo'],Finished Airing
Seikai no Monshou,13.0,7.82,11594,1999-01-03,1999-03-28,"['Action', 'Military', 'Sci-Fi', 'Space', 'Romance']","['Bandai Visual', 'WOWOW', 'BeSTACK']",['Sunrise'],Finished Airing
Naruto,220.0,7.82,474376,2002-10-03,2007-02-08,"['Action', 'Comedy', 'Martial Arts', 'Shounen', 'Super Power']","['TV Tokyo', 'Aniplex']",['Studio Pierrot'],Finished Airing
Mitsudomoe Zouryouchuu!,8.0,7.82,16281,2011-01-09,2011-02-27,"['Slice of Life', 'Comedy', 'School']","['Lantis', 'Cospa', 'Studio Mausu']",['Bridge'],Finished Airing
Lupin the Third: Mine Fujiko to Iu Onna,13.0,7.82,10138,2012-04-05,2012-06-28,"['Action', 'Adventure', 'Comedy', 'Ecchi', 'Samurai', 'Seinen']","['Tohokushinsha Film Corporation', 'Po10tial', 'Nippon Television Network Corporation']",['TMS Entertainment'],Finished Airing
Kochira Katsushikaku Kameari Kouenmae Hashutsujo (TV),373.0,7.82,1396,1996-06-16,2004-12-19,"['Comedy', 'Police', 'Slice of Life']","['Asatsu DK', 'Fuji TV']",['Studio Gallop'],Finished Airing
Densetsu no Yuusha no Densetsu,24.0,7.82,67625,2010-07-02,2010-12-17,"['Action', 'Adventure', 'Magic', 'Fantasy', 'Shounen']","['Lantis', 'Media Factory', 'Kadokawa Contents Gate']",['Zexcs'],Finished Airing
Chi's Sweet Home,104.0,7.82,14727,2008-03-31,2008-09-25,"['Comedy', 'Slice of Life']","['TV Tokyo', 'Hakuhodo DY Media Partners']",['Madhouse'],Finished Airing
Bishoujo Senshi Sailor Moon Crystal Season III,13.0,7.82,7821,2016-04-04,2016-06-27,"['Demons', 'Magic', 'Romance', 'Shoujo']","['Starchild Records', 'Kodansha']",['Toei Animation'],Finished Airing
Tsuritama,12.0,7.83,37241,2012-04-13,2012-06-29,"['Comedy', 'Sci-Fi', 'Slice of Life', 'Sports']","['Aniplex', 'Dentsu', 'Fuji TV', 'tsuritama partners', 'Sakura Create']",['A-1 Pictures'],Finished Airing
Tetsuwan Birdy Decode:02,12.0,7.83,15683,2009-01-10,2009-03-28,"['Action', 'Comedy', 'Sci-Fi']","['Aniplex', 'Shogakukan']",['A-1 Pictures'],Finished Airing
Shaman King,64.0,7.83,100721,2001-07-04,2002-09-25,"['Action', 'Adventure', 'Comedy', 'Supernatural', 'Drama', 'Shounen']","['TV Tokyo', 'Nihon Ad Systems', 'TV Tokyo Music']",['Xebec'],Finished Airing
Seitokai Yakuindomo*,13.0,7.84,52716,2014-01-04,2014-03-30,"['Comedy', 'School', 'Shounen', 'Slice of Life']",['Starchild Records'],['GoHands'],Finished Airing
Romeo x Juliet,24.0,7.84,41188,2007-04-05,2007-09-26,"['Fantasy', 'Romance', 'Historical', 'Drama']","['GDH', 'Kadokawa Shoten', 'CBC', 'SKY Perfect Well Think', 'Happinet Pictures', 'Sotsu Music Publishing']",['Gonzo'],Finished Airing
Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,10.0,7.84,126352,2013-01-12,2013-03-16,"['Comedy', 'Supernatural', 'Fantasy']","['Kadokawa Shoten', 'Nippon Columbia', 'flying DOG', 'Project No Name']",['Diomedea'],Finished Airing
Maria-sama ga Miteru: Haru,13.0,7.84,7951,2004-07-04,2004-09-26,"['Drama', 'Romance', 'School', 'Shoujo', 'Shoujo Ai']",[],['Studio Deen'],Finished Airing
Kimi to Boku.,13.0,7.84,33556,2011-10-04,2011-12-27,"['Comedy', 'Drama', 'Romance', 'School', 'Shounen', 'Slice of Life']","['TV Tokyo', 'Aniplex', 'Square Enix', 'Nihon Ad Systems', 'Movic', 'Kimi To Boku Production Partners']",['J.C.Staff'],Finished Airing
Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,12.0,7.84,34197,2016-07-11,2016-09-26,"['Action', 'Mystery', 'Horror', 'Psychological']",[],['Lerche'],Finished Airing
Akame ga Kill!,24.0,7.84,317563,2014-07-07,2014-12-15,"['Action', 'Adventure', 'Fantasy']","['Square Enix', 'TOHO animation']",['White Fox'],Finished Airing
Elfen Lied,13.0,7.84,413148,2004-07-25,2004-10-17,"['Action', 'Horror', 'Psychological', 'Supernatural', 'Drama', 'Romance', 'Seinen']","['VAP', 'Genco', 'A Line']",['Arms'],Finished Airing
Sora no Otoshimono: Forte,12.0,7.85,93408,2010-10-02,2010-12-18,"['Comedy', 'Ecchi', 'Harem', 'Romance', 'Sci-Fi', 'Shounen', 'Supernatural']","['Kadokawa Shoten', 'Kadokawa Pictures Japan', 'KlockWorx', 'NTT Docomo']",['AIC A.S.T.A.'],Finished Airing
Hoozuki no Reitetsu,13.0,7.85,18368,2014-01-10,2014-04-04,"['Comedy', 'Fantasy', 'Supernatural']","['Starchild Records', 'Mainichi Broadcasting System', 'Kodansha']",['Wit Studio'],Finished Airing
Arakawa Under the Bridge x Bridge,13.0,7.85,44331,2010-10-04,2010-12-27,"['Comedy', 'Romance', 'Seinen']","['Square Enix', 'Starchild Records', 'TV Tokyo Music', 'GANSIS']",['Shaft'],Finished Airing
Uchuu Kaizoku Captain Harlock,42.0,7.86,4345,1978-03-14,1979-02-13,"['Action', 'Sci-Fi', 'Adventure', 'Space', 'Drama', 'Seinen']",['Studio Nue'],['Toei Animation'],Finished Airing
Hello! Lady Lynn,36.0,7.85,880,1988-05-12,1989-01-26,['Drama'],[],['Toei Animation'],Finished Airing
Genshiken 2,12.0,7.85,32190,2007-10-10,2007-12-26,"['Comedy', 'Parody', 'Slice of Life']","['Genco', 'Lantis', 'Media Factory', 'Kids Station', 'Magic Capsule', 'Palm Studio', 'Showgate']",['Arms'],Finished Airing
Toaru Kagaku no Railgun,24.0,7.86,119560,2009-10-03,2010-03-20,"['Action', 'Sci-Fi', 'Super Power']","['Geneon Universal Entertainment', 'Movic', 'AT-X', 'ASCII Media Works', 'Project Railgun']",['J.C.Staff'],Finished Airing
Seikai no Senki,13.0,7.86,9358,2000-04-14,2000-07-14,"['Action', 'Military', 'Romance', 'Sci-Fi', 'Space']","['Bandai Visual', 'WOWOW', 'BeSTACK']",['Sunrise'],Finished Airing
Hai to Gensou no Grimgar,12.0,7.86,117676,2016-01-11,2016-03-28,"['Action', 'Adventure', 'Drama', 'Fantasy']",['TOHO animation'],['A-1 Pictures'],Finished Airing
Chibi Maruko-chan,142.0,7.86,2052,1990-01-07,1992-09-27,"['Comedy', 'Slice of Life', 'Shoujo']",['Fuji TV'],['Nippon Animation'],Finished Airing
The Law of Ueki,51.0,7.87,27204,2005-04-04,2006-03-27,"['Adventure', 'Comedy', 'Drama', 'Shounen', 'Supernatural']","['Shogakukan Productions', 'Studio Izena', 'Studio Tulip', 'TV Tokyo Music']",['Studio Deen'],Finished Airing
Space☆Dandy,13.0,7.86,58072,2014-01-05,2014-03-27,"['Sci-Fi', 'Space', 'Comedy']","['Bandai Visual', 'flying DOG', 'Bandai Namco Entertainment']",['Bones'],Finished Airing
Soukou Kihei Votoms,52.0,7.87,2521,1983-04-01,1984-03-23,"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Space']",['TV Tokyo'],['Sunrise'],Finished Airing
Slayers,26.0,7.87,37856,1995-04-07,1995-09-29,"['Adventure', 'Comedy', 'Demons', 'Magic', 'Fantasy']","['J.C.Staff', 'TV Tokyo', 'SoftX', 'TV Tokyo Music']",['E&amp;G Films'],Finished Airing
Sidonia no Kishi,12.0,7.87,60479,2014-04-11,2014-06-27,"['Action', 'Mecha', 'Sci-Fi', 'Seinen', 'Space']","['Starchild Records', 'Mainichi Broadcasting System', 'Kodansha', 'KlockWorx']",['Polygon Pictures'],Finished Airing
Tantei Gakuen Q,45.0,7.87,7752,2003-04-15,2004-03-20,"['Comedy', 'Drama', 'Mystery', 'Police', 'Shounen']","['Group TAC', 'Kodansha']",['Studio Pierrot'],Finished Airing
Ranma ½,161.0,7.87,50026,1989-04-15,1992-09-25,"['Slice of Life', 'Comedy', 'Martial Arts', 'Fantasy']","['Shogakukan Productions', 'Kitty Films', 'Fuji TV']",['Studio Deen'],Finished Airing
Mobile Suit Gundam Wing,49.0,7.87,52694,1995-04-07,1996-03-29,"['Action', 'Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",['TV Asahi'],['Sunrise'],Finished Airing
Lucky☆Star,24.0,7.87,162319,2007-04-08,2007-09-17,"['Slice of Life', 'Comedy', 'Parody', 'School']","['Lantis', 'Rakuonsha', 'Lucky Paradise']",['Kyoto Animation'],Finished Airing
K-On!,13.0,7.87,231085,2009-04-03,2009-06-26,"['Slice of Life', 'Comedy', 'Music', 'School']","['Pony Canyon', 'TBS', 'Movic', 'Rakuonsha', 'Animation Do']",['Kyoto Animation'],Finished Airing
High School DxD New,12.0,7.87,181221,2013-07-07,2013-09-22,"['Action', 'Harem', 'Comedy', 'Demons', 'Romance', 'Ecchi', 'School']",['Genco'],['TNK'],Finished Airing
Another,12.0,7.87,347432,2012-01-10,2012-03-27,"['Horror', 'Mystery', 'School', 'Supernatural', 'Thriller']","['Lantis', 'Kadokawa Shoten', 'Toho', 'KlockWorx', 'Bandai Namco Live Creative', 'NTT Docomo']",['P.A. Works'],Finished Airing
Watashi no Ashinaga Ojisan,40.0,7.88,2694,1990-01-04,1990-12-23,"['Comedy', 'Historical', 'Romance', 'School', 'Shoujo', 'Slice of Life']",[],['Nippon Animation'],Finished Airing
Sexy Commando Gaiden: Sugoiyo!! Masaru-san,48.0,7.88,1968,1998-01-05,1998-03-31,"['Comedy', 'Martial Arts', 'School', 'Shounen']","['Madhouse', 'Bandai Visual']",['Magic Bus'],Finished Airing
Oniisama e...,39.0,7.88,3336,1991-07-14,1992-05-31,"['Drama', 'School', 'Shoujo', 'Shoujo Ai']",['NHK'],['Tezuka Productions'],Finished Airing
Kyoukai no Kanata,12.0,7.88,193199,2013-10-03,2013-12-19,"['Slice of Life', 'Supernatural', 'Fantasy']","['Lantis', 'Pony Canyon', 'TBS']",['Kyoto Animation'],Finished Airing
Kyou kara Maou!,78.0,7.88,22228,2004-04-03,2006-02-25,"['Adventure', 'Comedy', 'Demons', 'Fantasy', 'Shoujo']",['NHK'],['Studio Deen'],Finished Airing
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,13.0,7.88,219365,2015-04-04,2015-06-27,"['Action', 'Adventure', 'Comedy', 'Romance', 'Fantasy']","['Genco', 'Movic', 'Warner Bros.', 'KlockWorx', 'SoftBank Creative Corp.', 'Showgate', 'MAGES.', 'Furyu']",['J.C.Staff'],Finished Airing
Binbougami ga!,13.0,7.88,62249,2012-07-05,2012-09-27,"['Comedy', 'Parody', 'Supernatural', 'Shounen']","['TV Tokyo', 'Bandai Visual', 'Dentsu', 'Trinity Sound', 'Sony Music Entertainment', 'Studio Jack', 'Shueisha']",['Sunrise'],Finished Airing
Arslan Senki (TV),25.0,7.88,68950,2015-04-05,2015-09-27,"['Action', 'Adventure', 'Historical', 'Drama', 'Fantasy', 'Shounen']","['Dentsu', 'Mainichi Broadcasting System', 'Kodansha', 'Magic Capsule', 'Graphinica', 'NBCUniversal Entertainment Japan']","['SANZIGEN', 'LIDENFILMS']",Finished Airing
Yamato Nadeshiko Shichihenge♥,25.0,7.89,51057,2006-10-04,2007-03-28,"['Comedy', 'Shoujo']",[],['Nippon Animation'],Finished Airing
Ie Naki Ko,51.0,7.89,1523,1977-10-02,1978-10-01,"['Adventure', 'Drama', 'Historical', 'Kids', 'Slice of Life']",[],"['Madhouse', 'TMS Entertainment']",Finished Airing
Mobile Suit Gundam,43.0,7.89,23899,1979-04-07,1980-01-26,"['Action', 'Military', 'Sci-Fi', 'Space', 'Mecha']","['Sotsu', 'Nagoya TV Housou']",['Sunrise'],Finished Airing
Flip Flappers,13.0,7.89,19138,2016-10-06,2016-12-29,"['Sci-Fi', 'Comedy']","['Sotsu', 'Lantis', 'AT-X', 'GAGA', 'Happinet Pictures', 'BS Fuji', 'Tokyo MX', 'Hakuhodo DY Music &amp; Pictures', 'Medicos Entertainment', 'Infinite', 'RAY']",['Studio 3Hz'],Finished Airing
