title,score,stdev,num_votes,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10
Gregory Horror Show: The Last Train,6.8076923076923075,1.8677951646581368,234,5,0,4,15,30,36,59,45,23,17
Juubee-chan: Lovely Gantai no Himitsu,6.664152928796914,1.6675589551590877,5702,43,60,137,296,676,1138,1671,997,480,204
Kanokon,6.667242794797563,1.9085794191384775,69429,998,1339,2039,3981,7769,13022,17576,11838,6200,4667
Dokonjou Gaeru,6.736263736263736,2.116575945398838,91,3,1,3,7,7,13,24,16,8,9
Ketsuekigata-kun! 2,6.753773584905661,1.5068193747033811,1060,3,8,13,32,131,250,337,162,77,47
Bomberman B-Daman Bakugaiden,6.693181818181818,1.875275461859201,704,12,7,21,26,94,148,179,99,64,54
Gasaraki,6.629158777387071,1.6896458443113815,3697,35,39,77,236,453,693,1046,715,275,128
Weiß Kreuz Glühen,6.6768515443374294,1.7921353476132416,3011,23,53,78,157,359,619,780,509,258,175
Uchuu Taitei God Sigma,6.762886597938144,1.5044483585117279,97,0,0,3,4,11,20,29,21,5,4
Miracle☆Train: Oedo-sen e Youkoso,6.416865011900714,1.9689811074856467,5882,107,141,197,455,822,1117,1354,877,482,330
Maken-Ki!,6.626923280283403,1.8171528996171131,56739,637,938,1555,3320,6560,11363,15285,9479,4278,3324
Psychoarmor Govarian,6.617283950617284,1.8295779803109549,81,1,0,3,4,14,15,20,13,4,7
Mahou Shoujo Lalabel,6.756756756756757,1.5175621525257772,185,0,1,4,7,23,42,52,31,21,4
Reideen,6.485623003194888,1.7249606752541555,2191,28,29,52,151,268,479,622,343,138,81
Kyoushirou to Towa no Sora,6.5761848449013005,1.9963225809501384,10993,164,273,389,728,1336,2018,2558,1740,981,806
Kagaku Ninja-tai Gatchaman II,6.554716981132075,1.6012455102360987,265,3,1,5,14,39,53,85,42,13,10
Shin Megami Tensei Devil Children: Light & Dark,6.761904761904762,1.8127790269234456,105,0,3,0,6,16,21,27,12,11,9
Tetsuko no Tabi,6.409090909090909,1.6640337329702213,330,4,4,7,27,38,73,106,48,10,13
Kinkyuu Hasshin Saver Kids,6.662162162162162,1.5962542897318137,74,0,0,2,5,11,12,25,9,7,3
Pokemon Best Wishes! Season 2: Decolora Adventure,6.603369065849924,1.854373823908776,6530,65,100,189,393,849,1418,1622,938,455,501
Ningyohime Marina no Bouken,6.5195530726256985,1.7395844303166363,358,2,5,12,15,55,94,76,56,23,20
Power Stone,6.5240686479698615,1.6816377201483548,2389,20,23,44,156,345,547,657,327,158,112
Kagewani,6.297405189620759,1.8577343142337097,8517,155,217,306,630,1097,1817,2199,1309,514,273
Ikkitousen,6.535117831645009,1.8565660845844079,47483,650,955,1511,3040,5545,9339,12633,7744,3748,2318
Kabatotto,6.424657534246576,1.9787764880265082,73,1,3,0,4,16,12,21,4,5,7
Disney Tsum Tsum,6.586956521739131,2.575605348486666,92,5,3,6,4,10,12,17,11,8,16
Perman,6.505791505791506,1.7339905464613765,259,4,4,6,8,39,58,82,32,10,16
Nanako SOS,6.458762886597938,1.5097110106009732,194,2,1,2,10,28,56,53,27,10,5
F-Zero: Falcon Densetsu,6.389513108614232,1.9685644084846472,1335,26,15,55,98,224,270,289,170,86,102
DT Eightron,6.3431372549019605,1.6419446746143505,306,2,1,9,31,49,62,77,52,16,7
Dokaben,6.454545454545454,1.776801844153824,55,0,3,1,1,8,13,16,9,0,4
"Saikin, Imouto no Yousu ga Chotto Okashiinda ga.",6.380962139453866,1.8516108681526113,39038,714,885,1312,2544,4669,8647,10423,5892,2340,1612
Kappa no Kaikata,6.392045454545454,1.8287718343676198,528,6,11,14,48,63,119,137,74,27,29
Akuma-kun,6.328947368421052,1.8381065622188564,76,1,2,3,6,9,15,22,10,6,2
Shin Mitsubachi Maya no Bouken,6.444291609353508,1.6642092975992249,727,5,11,13,33,119,213,163,97,33,40
Valkyrie Drive: Mermaid,6.18700683850605,2.138844303523257,19010,552,679,966,1611,2504,3745,4055,2422,1148,1328
Uchuu Kaizoku Mito no Daibouken: Futari no Joou-sama,6.377272727272727,1.470445763638242,220,0,2,4,11,40,65,55,23,16,4
Usavich Zero,6.393364928909953,2.1200361157842886,211,5,7,8,16,31,34,45,33,16,16
Cinderella Boy,6.297166968053044,1.6201147989801625,1659,17,26,42,115,216,469,451,205,79,39
Perman (1983),6.44,1.8216476058777122,250,5,1,7,13,44,56,67,27,11,19
009-1,6.2087101380295096,1.740956178991863,4202,71,77,136,303,678,975,1095,574,183,110
Play Ball,6.407894736842105,1.8365989131726712,76,2,2,1,5,9,13,26,12,3,3
Taiko no Tatsujin,6.191780821917808,1.987340304579853,146,6,3,1,12,24,35,35,13,8,9
Fighting Foodons,6.107741420590583,1.9491653949339132,1253,23,35,46,133,210,266,283,119,69,69
Genei Toushi Bastof Lemon,5.97948717948718,1.963667354875786,195,3,9,8,21,34,40,39,20,16,5
Yobarete Tobidete Akubi-chan,6.103896103896104,2.0231415431183537,77,2,4,1,6,15,15,15,12,3,4
Yami Shibai 3rd Season,6.270261595249559,1.7908126720167514,6231,50,114,256,506,964,1502,1437,790,331,281
Tsuki wa Higashi ni Hi wa Nishi ni: Operation Sanctuary,6.2620525059665875,1.7642881658976959,2095,32,41,63,131,355,490,550,253,97,83
